,Repository,Notebook Path
104,ucaiado/Customer_Segments,customer_segments.ipynb
105,davisgrubin/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,Chapter2_MorePyMC/Ch2_MorePyMC_PyMC3.ipynb
106,learn-co-students/introduction-to-derivatives-lab-data-science-alpha,index.ipynb
107,davide-belli/machine-learning-2-labs-hws,lab2/lab2.ipynb
108,acesaif/ml_crash_course,self_practice/trading/part_1/project_1/portfolio_optimization.ipynb
109,leftaroundabout/linearmap-family,test/matrices.ipynb
110,bjodah/pyneqsys,examples/chem_equil_ammonia.ipynb
111,learn-co-students/evaluating-regression-lines-lab-nyc-ds-career-012819,index.ipynb
112,r-jain/aima-python,rl.ipynb
113,andrewfhughes/CFD_1,lessons/05_Step_4.ipynb
114,manhcuogntin4/handwritting-ocr,GapClassifier-BiRNN.ipynb
115,dataforcast/OC_Datascientist,P7/P7_Keras.ipynb
116,christinabejjani/controltransfer,expt1/analysis/SSAnalysis.ipynb
117,Merinorus/adaisawesome,Homework/03\ -\ Interactive\ Viz/HW3_Interactive_Viz.ipynb
118,silvanopessoa/titanic,01\ -\ Análise\ Exploratória\ de\ Dados\ -\ Titanic.ipynb
119,stanlo229/MicrosoftMLwithPython,Module5/Bias-Variance-Trade-Off.ipynb
120,mdeff/dlaudio,audio_features.ipynb
121,dragonfly90/mxnet_Realtime_Multi-Person_Pose_Estimation,testModel.ipynb
122,indiesoul2/MachingLearing-HandOn,11_deep_learning.ipynb
123,h2oai/h2o-3,h2o-docs/src/product/tutorials/gbm/gbmTuning.ipynb
124,bharlow058/TensorFlow,tensorflow/examples/udacity/5_word2vec.ipynb
125,kgcornell/Airbnb-Price-and-Occupancy-Rate-Prediction-in-Seattle,Project.ipynb
126,julienroy13/COMP767-assignments,Week2-MDP/dynamicProgramming.ipynb
127,iranroman/iranroman.github.io,algoritmica/index.ipynb
128,lucasputer/CienciaDeDatos,tp4/TP4.ipynb
129,IBM/powerai-transfer-learning,notebooks/Classifying-House-And-Pool-Images.ipynb
130,BouchardLab/cv_paper_plots,accuracy_slope/accuracy_slope.ipynb
131,aMartin6/Final_Project,Final_Project.ipynb
132,CFerraren/PyBank,2-EDA.ipynb
133,yyu/jupyter_scratchbook,ipyleaflet.ipynb
134,IBMDecisionOptimization/tutorials,jupyter/Beyond_Linear_Programming.ipynb
135,simonvdberg/POC,LocCat.ipynb
136,Petelr/ml2019,Proj2_Linear\ Classification.ipynb
137,ChrisMats/MusicGAN,src/MusicGan.ipynb
138,rosaann/uda,smartcab/smartcab.ipynb
